source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36595_case_002,1,0,1,1,1,1,0,2,1,4,1,1,1,train
vp_36595_case_003,1,0,0,1,0,0,0,2,0,3,1,0,1,train
vp_36596_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36597_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36597_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36599_case_001,1,0,0,1,0,0,0,2,0,2,1,0,1,validation
vp_36600_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36602_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36602_case_002,0,0,0,0,1,1,0,1,1,2,0,1,1,train
vp_36602_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36602_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36603_case_001,0,0,0,0,0,0,0,0,1,1,0,0,1,test
vp_36604_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36604_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36604_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36604_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36605_case_001,1,1,0,0,1,0,0,3,0,3,0,0,1,validation
vp_36606_case_001,0,0,0,0,0,0,0,3,0,3,0,0,1,train
vp_36607_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36607_case_002,0,1,0,0,0,0,0,2,1,3,0,0,1,train
vp_36607_case_003,0,0,0,1,0,0,0,1,0,2,0,0,1,train
vp_36607_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36607_case_005,0,0,0,0,0,0,0,1,1,2,0,0,1,validation
vp_36607_case_006,0,0,0,0,0,0,0,1,0,0,0,0,1,test
vp_36607_case_007,0,0,0,0,0,0,0,0,1,1,0,0,1,train
vp_36608_case_001,0,1,0,0,0,0,0,2,1,3,0,0,1,train
vp_36609_case_001,0,0,0,0,1,1,0,1,1,2,0,1,1,train
vp_36609_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36610_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36610_case_002,1,0,0,0,0,0,0,1,0,1,0,0,1,validation
vp_36610_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36610_case_004,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36611_case_001,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36613_case_001,0,0,0,0,0,0,0,2,1,3,0,0,1,train
vp_36613_case_002,0,1,0,0,0,0,0,2,0,1,0,0,1,train
vp_36621_case_001,0,0,0,0,0,0,0,2,1,3,0,0,1,train
vp_36622_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36623_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36624_case_001,0,0,0,0,1,0,0,2,0,2,0,0,1,train
vp_36625_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36626_case_001,0,0,0,0,0,0,0,1,0,0,0,0,1,validation
vp_36627_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36628_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36628_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36629_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36630_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36631_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36632_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36633_case_001,1,0,0,0,0,0,0,2,0,1,0,0,1,train
vp_36635_case_001,0,0,0,1,0,0,0,2,1,3,0,0,1,train
vp_36636_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36636_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36637_case_001,1,0,0,1,0,0,0,1,0,2,1,0,1,train
vp_36638_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36638_case_002,0,1,0,0,1,1,1,4,3,7,0,1,1,train
vp_36639_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36639_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36640_case_001,0,0,0,0,1,0,0,1,0,1,0,0,1,train
vp_36640_case_002,0,0,0,0,0,0,0,1,0,0,0,0,1,train
vp_36640_case_003,0,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36641_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36644_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36645_case_001,0,0,0,1,0,0,0,1,0,1,0,0,1,train
vp_36646_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
