연도,월,지역,분류축,분류값,지표,값,단위,시간단위,월_결측유형,출처파일
2017,,세종,전체,전체,발생건수,0,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,울산,전체,전체,발생건수,806,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,인천,전체,전체,발생건수,1531,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,전국,사기유형,기관사칭형,검거인원,4925,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,기관사칭형,발생건수,5685,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,기관사칭형,피해액,967,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,검거인원,20548,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,발생건수,18574,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,사기유형,대출사기형,피해액,1503,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2017,,전국,성별,남성,피해자수,11391,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2017,,전국,성별,여성,피해자수,12868,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2017,,전국,연령대,20대이하,피해자수,5273,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전국,연령대,30대,피해자수,4887,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전국,연령대,40대,피해자수,6473,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전국,연령대,50대,피해자수,5412,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전국,연령대,60대,피해자수,1807,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전국,연령대,70대이상,피해자수,407,명,연,연간자료_비해당,경찰청_전화금융사기 피해자 연령별 현황_20251231.csv
2017,,전남,전체,전체,발생건수,445,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,전북,전체,전체,발생건수,610,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,제주,전체,전체,발생건수,394,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,충남,전체,전체,발생건수,1127,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2017,,충북,전체,전체,발생건수,584,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,1,전국,전체,전체,발생건수,3035,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,2,전국,전체,전체,발생건수,2254,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,3,전국,전체,전체,발생건수,2989,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,4,전국,전체,전체,발생건수,2918,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,5,전국,전체,전체,발생건수,2600,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,6,전국,전체,전체,발생건수,2542,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,7,전국,전체,전체,발생건수,3009,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,8,전국,전체,전체,발생건수,2890,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,9,전국,전체,전체,발생건수,2639,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,10,전국,전체,전체,발생건수,2605,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,11,전국,전체,전체,발생건수,3537,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,12,전국,전체,전체,발생건수,3114,건,월,월정보_존재,경찰청_보이스피싱 월별 발생 건수_20180101~20231031.csv
2018,,강원,전체,전체,발생건수,1069,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,경기남부,전체,전체,발생건수,5883,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,경기북부,전체,전체,발생건수,2814,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,경남,전체,전체,발생건수,755,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,경북,전체,전체,발생건수,1985,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,광주,전체,전체,발생건수,205,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,대구,전체,전체,발생건수,930,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,대전,전체,전체,발생건수,1295,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,부산,전체,전체,발생건수,1655,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,서울,전체,전체,발생건수,9972,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,세종,전체,전체,발생건수,0,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,울산,전체,전체,발생건수,1225,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,인천,전체,전체,발생건수,2325,건,연,연간자료_비해당,경찰청_전화금융사기_시도경찰청별_피해_현황_20251231.csv
2018,,전국,사기유형,기관사칭형,검거인원,5491,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,기관사칭형,발생건수,6221,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,기관사칭형,피해액,1430,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,검거인원,32133,명,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,발생건수,27911,건,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
2018,,전국,사기유형,대출사기형,피해액,2610,억원,연,연간자료_비해당,경찰청_보이스피싱 현황_20251231.csv
