분류,게시글ID,제목,게시글URL,미디어URL,상태,파일,오류
바로 이 목소리,18323,5차례 신고된 남성 전화금융사기범 음성 2021-05-17 | 9054 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18323&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=bdae2d5300cf4477a9f3b56137b4c314&atchFileId=998e6cba30862ca903ce2339adee7307&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18323_5차례 신고된 남성 전화금융사기범 음성 2021-05-17 _ 9054 회.mp4,
바로 이 목소리,18322,4차례 신고된 남성 전화금융사기범 음성 2021-05-14 | 4724 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18322&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=3a6fe57cdaba4f65b7e8219f3717193b&atchFileId=c1146a6ecd046a7cc2203e90b9ca7cc1&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18322_4차례 신고된 남성 전화금융사기범 음성 2021-05-14 _ 4724 회.mp4,
바로 이 목소리,18321,4차례 신고된 남성 전화금융사기범 음성 2021-05-14 | 3851 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18321&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=6df4ad69ad51482392455150a3c3bcec&atchFileId=032974d6881766cb18d5d73524a7b9b3&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18321_4차례 신고된 남성 전화금융사기범 음성 2021-05-14 _ 3851 회.mp4,
바로 이 목소리,18320,4차례 신고된 남성 전화금융사기범 음성 2021-05-13 | 3607 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18320&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=02a909325ee54436b4437a9e82e98aee&atchFileId=3d80e53938838b6bc4e3e64ccd0bb282&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18320_4차례 신고된 남성 전화금융사기범 음성 2021-05-13 _ 3607 회.mp4,
바로 이 목소리,18319,5차례 신고된 여성 전화금융사기범 음성 2021-05-06 | 6448 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18319&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=d8f4aa610c8e42dda341b86de31523a0&atchFileId=6038696c35c6a19a5c7696ead211022d&fileSn=4,다운로드,원본 영상 및 음원\바로 이 목소리\18319_5차례 신고된 여성 전화금융사기범 음성 2021-05-06 _ 6448 회.mp4,
바로 이 목소리,18318,7차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 4045 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18318&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=f08b9203287746afa17174aa169c4815&atchFileId=c5a1ae7bee70506bb45cba4be72e0c9c&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18318_7차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 4045 회.mp4,
바로 이 목소리,18317,4차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 2594 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18317&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=85379b1fa88b44339803241e81b9d417&atchFileId=2365159b15995a0b2156624db770b194&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18317_4차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 2594 회.mp4,
바로 이 목소리,18316,4차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1740 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18316&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=0d203b997511498792506f2843916111&atchFileId=e004930e55471bb08da29d56c3d4c858&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18316_4차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1740 회.mp4,
바로 이 목소리,18315,5차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1649 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18315&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=38bfde70128c401280b70176d0548f90&atchFileId=6bdcc11099b940593cc253a5e0417a75&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18315_5차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1649 회.mp4,
바로 이 목소리,18314,4차례 신고된 남성 전화금융사기범 음성 2021-05-04 | 1332 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18314&menuNo=200686&pageIndex=4,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=10079d35f0bc40eb9b1291289cc63869&atchFileId=67a2a4c7e15eec4d6634e73203d4469b&fileSn=3,다운로드,원본 영상 및 음원\바로 이 목소리\18314_4차례 신고된 남성 전화금융사기범 음성 2021-05-04 _ 1332 회.mp4,
