심리전략,요구행동,심리전략_사건수,동반사건수,P(행동|전략)_pct,Lift
AUTHORITY_TRUST,WITHDRAW_CASH,455,72,15.824175824175823,1.3347348303870044
AUTHORITY_TRUST,TRANSFER_MONEY,455,49,10.76923076923077,1.4408488063660478
AUTHORITY_TRUST,DISCLOSE_ACCOUNT,455,42,9.230769230769232,1.627972027972028
AUTHORITY_TRUST,DISCLOSE_ID_NUMBER,455,27,5.934065934065933,1.4390109890109888
AUTHORITY_TRUST,REPAY_LOAN,455,20,4.395604395604396,1.100319035802907
AUTHORITY_TRUST,DISCLOSE_CARD,455,24,5.274725274725275,1.6372747252747255
AUTHORITY_TRUST,PAY_FEE,455,17,3.7362637362637363,1.208058608058608
AUTHORITY_TRUST,AVOID_OUTSIDE_CONTACT,455,21,4.615384615384616,1.4923076923076923
AUTHORITY_TRUST,DISCLOSE_PASSWORD,455,17,3.7362637362637363,1.4496703296703297
AUTHORITY_TRUST,VISIT_BANK,455,16,3.5164835164835164,1.7054945054945054
AUTHORITY_TRUST,KEEP_CALL_CONNECTED,455,11,2.417582417582418,1.443110735418428
AUTHORITY_TRUST,DISCLOSE_OTP,455,10,2.197802197802198,1.5504495504495506
URGENCY_TIME_PRESSURE,WITHDRAW_CASH,448,77,17.1875,1.4497282608695652
URGENCY_TIME_PRESSURE,TRANSFER_MONEY,448,52,11.607142857142858,1.5529556650246306
URGENCY_TIME_PRESSURE,DISCLOSE_ACCOUNT,448,40,8.928571428571429,1.5746753246753247
URGENCY_TIME_PRESSURE,DISCLOSE_ID_NUMBER,448,26,5.803571428571429,1.4073660714285714
URGENCY_TIME_PRESSURE,REPAY_LOAN,448,29,6.4732142857142865,1.6203917050691248
URGENCY_TIME_PRESSURE,DISCLOSE_CARD,448,23,5.133928571428571,1.5935714285714286
URGENCY_TIME_PRESSURE,PAY_FEE,448,20,4.464285714285714,1.443452380952381
URGENCY_TIME_PRESSURE,AVOID_OUTSIDE_CONTACT,448,21,4.6875,1.515625
URGENCY_TIME_PRESSURE,DISCLOSE_PASSWORD,448,17,3.7946428571428568,1.4723214285714286
URGENCY_TIME_PRESSURE,VISIT_BANK,448,15,3.3482142857142856,1.6238839285714286
URGENCY_TIME_PRESSURE,KEEP_CALL_CONNECTED,448,13,2.9017857142857144,1.7321428571428572
URGENCY_TIME_PRESSURE,DISCLOSE_OTP,448,10,2.232142857142857,1.5746753246753247
FEAR_THREAT,WITHDRAW_CASH,294,39,13.26530612244898,1.1188997338065663
FEAR_THREAT,TRANSFER_MONEY,294,20,6.802721088435375,0.9101571663148019
FEAR_THREAT,DISCLOSE_ACCOUNT,294,23,7.8231292517006805,1.3797155225726656
FEAR_THREAT,DISCLOSE_ID_NUMBER,294,13,4.421768707482993,1.0722789115646258
FEAR_THREAT,REPAY_LOAN,294,5,1.7006802721088436,0.4257186745666009
FEAR_THREAT,DISCLOSE_CARD,294,23,7.8231292517006805,2.4282993197278917
FEAR_THREAT,PAY_FEE,294,4,1.3605442176870748,0.43990929705215415
FEAR_THREAT,AVOID_OUTSIDE_CONTACT,294,9,3.061224489795918,0.9897959183673469
FEAR_THREAT,DISCLOSE_PASSWORD,294,9,3.061224489795918,1.1877551020408164
FEAR_THREAT,VISIT_BANK,294,10,3.4013605442176873,1.6496598639455784
FEAR_THREAT,KEEP_CALL_CONNECTED,294,8,2.7210884353741496,1.6242804814233385
FEAR_THREAT,DISCLOSE_OTP,294,7,2.380952380952381,1.6796536796536796
MONEY_REQUEST,WITHDRAW_CASH,280,75,26.785714285714285,2.2593167701863353
MONEY_REQUEST,TRANSFER_MONEY,280,58,20.714285714285715,2.771428571428572
MONEY_REQUEST,DISCLOSE_ACCOUNT,280,26,9.285714285714286,1.6376623376623378
MONEY_REQUEST,DISCLOSE_ID_NUMBER,280,22,7.857142857142857,1.9053571428571427
MONEY_REQUEST,REPAY_LOAN,280,31,11.071428571428571,2.7714285714285714
MONEY_REQUEST,DISCLOSE_CARD,280,8,2.857142857142857,0.8868571428571429
MONEY_REQUEST,PAY_FEE,280,24,8.571428571428571,2.7714285714285714
MONEY_REQUEST,AVOID_OUTSIDE_CONTACT,280,12,4.285714285714286,1.3857142857142857
MONEY_REQUEST,DISCLOSE_PASSWORD,280,9,3.214285714285714,1.247142857142857
MONEY_REQUEST,VISIT_BANK,280,12,4.285714285714286,2.0785714285714287
MONEY_REQUEST,KEEP_CALL_CONNECTED,280,8,2.857142857142857,1.7054945054945054
MONEY_REQUEST,DISCLOSE_OTP,280,6,2.142857142857143,1.5116883116883117
